"","HUC","Stressor","simulation","dose","sys.cap"
"136","0401010102","StressorB","40",0,1
"137","0401010102","StressorB","41",0,1
"138","0401010102","StressorB","42",0,1
"139","0401010102","StressorB","43",0,1
"140","0401010102","StressorB","44",0,1
"141","0401010102","StressorB","45",0,1
"142","0401010102","StressorB","46",0,1
"143","0401010102","StressorB","47",0,1
"144","0401010102","StressorB","48",0,1
"145","0401010102","StressorB","49",0,1
"146","0401010102","StressorB","5",0,1
"147","0401010102","StressorB","50",0,1
"148","0401010102","StressorB","51",0,1
"149","0401010102","StressorB","52",0,1
"150","0401010102","StressorB","53",0,1
"151","0401010102","StressorB","54",0,1
"152","0401010102","StressorB","55",0,1
"153","0401010102","StressorB","56",0,1
"154","0401010102","StressorB","57",0,1
"155","0401010102","StressorB","58",0,1
"156","0401010102","StressorB","59",0,1
"157","0401010102","StressorB","6",0,1
"158","0401010102","StressorB","60",0,1
"159","0401010102","StressorB","61",0,1
"160","0401010102","StressorB","62",0,1
"161","0401010102","StressorB","63",0,1
"162","0401010102","StressorB","64",0,1
"163","0401010102","StressorB","65",0,1
"164","0401010102","StressorB","66",0,1
"165","0401010102","StressorB","67",0,1
"166","0401010102","StressorB","68",0,1
"167","0401010102","StressorB","69",0,1
"168","0401010102","StressorB","7",0,1
"169","0401010102","StressorB","70",0,1
"170","0401010102","StressorB","71",0,1
"171","0401010102","StressorB","72",0,1
"172","0401010102","StressorB","73",0,1
"173","0401010102","StressorB","74",0,1
"174","0401010102","StressorB","75",0,1
"175","0401010102","StressorB","76",0,1
"176","0401010102","StressorB","77",0,1
"177","0401010102","StressorB","78",0,1
"178","0401010102","StressorB","79",0,1
"179","0401010102","StressorB","8",0,1
"180","0401010102","StressorB","80",0,1
"181","0401010102","StressorB","81",0,1
"182","0401010102","StressorB","82",0,1
"183","0401010102","StressorB","83",0,1
"184","0401010102","StressorB","84",0,1
"185","0401010102","StressorB","85",0,1
"186","0401010102","StressorB","86",0,1
"187","0401010102","StressorB","87",0,1
"188","0401010102","StressorB","88",0,1
"189","0401010102","StressorB","89",0,1
"190","0401010102","StressorB","9",0,1
"191","0401010102","StressorB","90",0,1
"192","0401010102","StressorB","91",0,1
"193","0401010102","StressorB","92",0,1
"194","0401010102","StressorB","93",0,1
"195","0401010102","StressorB","94",0,1
"196","0401010102","StressorB","95",0,1
"197","0401010102","StressorB","96",0,1
"198","0401010102","StressorB","97",0,1
"199","0401010102","StressorB","98",0,1
"200","0401010102","StressorB","99",0,1
"201","0401010102","StressorC","1",0,1
"202","0401010102","StressorC","10",0,1
"203","0401010102","StressorC","100",0,1
"204","0401010102","StressorC","11",0,1
"205","0401010102","StressorC","12",0,1
"206","0401010102","StressorC","13",0,1
"207","0401010102","StressorC","14",0,1
"208","0401010102","StressorC","15",0,1
"209","0401010102","StressorC","16",0,1
"210","0401010102","StressorC","17",0,1
"211","0401010102","StressorC","18",0,1
"212","0401010102","StressorC","19",0,1
"213","0401010102","StressorC","2",0,1
"214","0401010102","StressorC","20",0,1
"215","0401010102","StressorC","21",0,1
"216","0401010102","StressorC","22",0,1
"217","0401010102","StressorC","23",0,1
"218","0401010102","StressorC","24",0,1
"219","0401010102","StressorC","25",0,1
"220","0401010102","StressorC","26",0,1
"221","0401010102","StressorC","27",0,1
"222","0401010102","StressorC","28",0,1
"223","0401010102","StressorC","29",0,1
"224","0401010102","StressorC","3",0,1
"225","0401010102","StressorC","30",0,1
"226","0401010102","StressorC","31",0,1
"227","0401010102","StressorC","32",0,1
"228","0401010102","StressorC","33",0,1
"229","0401010102","StressorC","34",0,1
"230","0401010102","StressorC","35",0,1
"231","0401010102","StressorC","36",0,1
"232","0401010102","StressorC","37",0,1
"233","0401010102","StressorC","38",0,1
"234","0401010102","StressorC","39",0,1
"235","0401010102","StressorC","4",0,1
"236","0401010102","StressorC","40",0,1
"237","0401010102","StressorC","41",0,1
"238","0401010102","StressorC","42",0,1
"239","0401010102","StressorC","43",0,1
"240","0401010102","StressorC","44",0,1
"241","0401010102","StressorC","45",0,1
"242","0401010102","StressorC","46",0,1
"243","0401010102","StressorC","47",0,1
"244","0401010102","StressorC","48",0,1
"245","0401010102","StressorC","49",0,1
