"","scenario","HUC","simulation","CE"
"1","base_unc",1701010201,1,0
"2","base_unc",1701010201,2,0
"3","base_unc",1701010201,3,0
"4","base_unc",1701010201,4,0
"5","base_unc",1701010201,5,0
"6","base_unc",1701010201,6,0
"7","base_unc",1701010201,7,0
"8","base_unc",1701010201,8,0
"9","base_unc",1701010201,9,0
"10","base_unc",1701010201,10,0
"11","base_unc",1701010201,11,0
"12","base_unc",1701010201,12,0
"13","base_unc",1701010201,13,0
"14","base_unc",1701010201,14,0
"15","base_unc",1701010201,15,0
"16","base_unc",1701010201,16,0
"17","base_unc",1701010201,17,0
"18","base_unc",1701010201,18,0
"19","base_unc",1701010201,19,0
"20","base_unc",1701010201,20,0
"21","base_unc",1701010201,21,0
"22","base_unc",1701010201,22,0
"23","base_unc",1701010201,23,0
"24","base_unc",1701010201,24,0
"25","base_unc",1701010201,25,0
"26","base_unc",1701010201,26,0
"27","base_unc",1701010201,27,0
"28","base_unc",1701010201,28,0
"29","base_unc",1701010201,29,0
"30","base_unc",1701010201,30,0
"31","base_unc",1701010201,31,0
"32","base_unc",1701010201,32,0
"33","base_unc",1701010201,33,0
"34","base_unc",1701010201,34,0
"35","base_unc",1701010201,35,0
"36","base_unc",1701010201,36,0
"37","base_unc",1701010201,37,0
"38","base_unc",1701010201,38,0
"39","base_unc",1701010201,39,0
"40","base_unc",1701010201,40,0
"41","base_unc",1701010201,41,0
"42","base_unc",1701010201,42,0
"43","base_unc",1701010201,43,0
"44","base_unc",1701010201,44,0
"45","base_unc",1701010201,45,0
"46","base_unc",1701010201,46,0
"47","base_unc",1701010201,47,0
"48","base_unc",1701010201,48,0
"49","base_unc",1701010201,49,0
"50","base_unc",1701010201,50,0
"51","base_unc",1701010201,51,0
"52","base_unc",1701010201,52,0
"53","base_unc",1701010201,53,0
"54","base_unc",1701010201,54,0
"55","base_unc",1701010201,55,0
"56","base_unc",1701010201,56,0
"57","base_unc",1701010201,57,0
"58","base_unc",1701010201,58,0
"59","base_unc",1701010201,59,0
"60","base_unc",1701010201,60,0
"61","base_unc",1701010201,61,0
"62","base_unc",1701010201,62,0
"63","base_unc",1701010201,63,0
"64","base_unc",1701010201,64,0
"65","base_unc",1701010201,65,0
"66","base_unc",1701010201,66,0
"67","base_unc",1701010201,67,0
"68","base_unc",1701010201,68,0
"69","base_unc",1701010201,69,0
"70","base_unc",1701010201,70,0
"71","base_unc",1701010201,71,0
"72","base_unc",1701010201,72,0
"73","base_unc",1701010201,73,0
"74","base_unc",1701010201,74,0
"75","base_unc",1701010201,75,0
"76","base_unc",1701010201,76,0
"77","base_unc",1701010201,77,0
"78","base_unc",1701010201,78,0
"79","base_unc",1701010201,79,0
"80","base_unc",1701010201,80,0
"81","base_unc",1701010201,81,0
"82","base_unc",1701010201,82,0
"83","base_unc",1701010201,83,0
"84","base_unc",1701010201,84,0
"85","base_unc",1701010201,85,0
"86","base_unc",1701010201,86,0
"87","base_unc",1701010201,87,0
"88","base_unc",1701010201,88,0
"89","base_unc",1701010201,89,0
"90","base_unc",1701010201,90,0
"91","base_unc",1701010201,91,0
"92","base_unc",1701010201,92,0
"93","base_unc",1701010201,93,0
"94","base_unc",1701010201,94,0
"95","base_unc",1701010201,95,0
"96","base_unc",1701010201,96,0
"97","base_unc",1701010201,97,0
"98","base_unc",1701010201,98,0
"99","base_unc",1701010201,99,0
"100","base_unc",1701010201,100,0
"101","base_unc",1701010202,1,0.172328308361953
"102","base_unc",1701010202,2,0.0948347989360565
"103","base_unc",1701010202,3,0.0918795546502601
"104","base_unc",1701010202,4,0.0895903944445047
"105","base_unc",1701010202,5,0.101780719794419
"106","base_unc",1701010202,6,0.12299663583974
"107","base_unc",1701010202,7,0.1470749195094
"108","base_unc",1701010202,8,0.0867930811724988
"109","base_unc",1701010202,9,0.0412500406223895
"110","base_unc",1701010202,10,0.215063932064538
"111","base_unc",1701010202,11,0.151422799093034
"112","base_unc",1701010202,12,0.0354773128863105
"113","base_unc",1701010202,13,0.153246423663145
"114","base_unc",1701010202,14,0.2796996921283
